term,1550-1600,1650-1700,1700-1750,1750-1800,1800-1850
că,True,False,True,True,True
ceriu,True,False,True,False,True
apei,False,False,True,False,True
chip,True,False,True,False,True
trupu,True,False,True,True,False
lume,True,False,True,True,False
trebui,True,False,False,True,False
ucenicii,True,False,True,False,False
lăsa,False,False,True,False,True
într,False,False,True,True,True
lăuntru,True,False,True,False,False
copii,False,False,True,True,True
demult,True,False,True,False,False
ochii,True,False,True,True,True
ia,True,False,True,True,True
meale,True,False,True,False,False
ascultă,True,False,True,False,False
afla,True,False,False,False,True
vreo,True,False,True,True,False
vedeți,True,False,True,False,False
vea,True,False,True,False,False
duhul,True,False,True,False,False
se,True,False,True,True,True
acelora,True,False,True,True,False
cutezat,False,False,False,True,True
cuvîntul,True,False,True,False,False
lăuda,True,False,True,False,False
fiiului,True,False,True,False,False
suflete,True,False,True,False,False
trupului,True,False,True,True,False
adînc,False,False,True,False,True
lucrat$,True,False,True,False,False
fi,True,False,True,True,True
credincioși,False,False,True,False,True
bun,True,False,True,False,True
am,True,False,True,True,True
știe,True,False,True,False,False
unuia,True,False,False,True,False
ge,True,False,False,True,True
au,True,False,True,True,True
n_au,True,False,True,False,False
ea,True,False,True,False,True
pă,True,False,True,False,True
măgură,True,False,True,False,False
grije,False,False,True,True,False
cuvînta,False,False,True,True,False
învățătură,False,False,True,False,True
grăim,True,False,True,False,False
piept,True,False,False,False,True
su,False,False,True,False,True
gîndul,False,False,True,False,True
zioa,True,False,True,False,True
calea,True,False,True,True,False
ră,True,False,True,False,False
începutul,True,False,True,False,False
fața,True,False,True,False,False
zilele,True,False,True,False,False
adam,True,False,True,False,False
sluji,False,False,True,True,False
mie,True,False,True,True,True
ți,True,False,True,False,True
munca,True,False,True,False,False
întîi,True,False,True,False,False
el,True,False,True,False,True
cere,False,False,False,True,True
precum,False,False,True,True,False
îngerilor,True,False,True,False,False
împreună,True,False,True,False,True
is,True,False,True,False,False
aceastea,True,False,True,False,False
alte,True,False,True,True,True
curse,True,False,True,False,True
nu,True,False,True,True,True
morții,True,False,True,True,False
biruit,False,False,True,False,True
proslăvi,True,False,True,False,False
noastre,True,False,True,True,True
făcută,True,False,True,False,False
lăudaţi,False,False,True,False,True
desparte,False,False,True,False,True
ivi,True,False,True,False,False
dacă,False,False,False,True,True
cuprinde,False,False,True,True,True
unui,False,False,True,False,True
avînd,False,False,True,False,True
ceriul,True,False,True,False,False
era,True,False,True,False,True
îmble,True,False,True,False,False
nu_l,True,False,True,False,False
carele,True,False,True,False,False
cură,True,False,True,False,False
ba,True,False,False,True,False
pren,True,False,True,False,False
aflat,True,False,True,True,False
vostru,True,False,True,False,True
cîtă,False,False,True,False,True
